id,frase_original,frase_reconstruida
11,"João comprou um carro usado que o vendedor garantiu estar em perfeito estado. No primeiro dia, o motor fez um barulho que parecia uma orquestra de panelas. As luzes piscavam em morse, provavelmente tentando pedir socorro. O volante tinha uma folga considerável, dando uma sensação única de direção aproximada. João ligou para o vendedor, que disse que isso era personalidade do veículo. Pelo menos agora ele tinha um carro com caráter, mesmo que esse caráter fosse questionável.","João comprou um carro de segunda mão. O vendedor garantiu que o carro estava em perfeitas condições. No primeiro dia, o motor fez um barulho muito alto e desorganizado. As luzes piscavam de forma irregular. Isso provavelmente indicava um problema. O volante tinha uma folga considerável. Isso resultava em uma direção imprecisa. João telefonou para o vendedor. O vendedor disse que esses problemas eram características do veículo. Agora João tinha um carro com muitas características problemáticas."
12,"A operadora da rede prometeu velocidade de fibra ótica para Sandra. Quando o técnico chegou, instalou uma conexão que funcionava no ritmo de uma tartaruga contemplativa. Os downloads pareciam estar sendo feitos por correio. Sandra ligou para cobrar uma solução e ouviu que a velocidade estava dentro dos padrões. Ela perguntou se os padrões eram baseados na era da pedra lascada. O atendente riu nervoso e ofereceu um desconto no próximo mês. Sandra aceitou, afinal, paciência também é uma virtude que se aprende.","A operadora do serviço de internet prometeu velocidade de fibra ótica para Sandra. Quando o técnico chegou ao local, instalou uma conexão de internet. A conexão funcionava muito lentamente. Os downloads eram extremamente lentos. Sandra fez uma ligação telefônica para pedir uma solução. Ela ouviu que a velocidade estava dentro dos padrões. Ela questionou se os padrões de velocidade eram muito antigos ou inadequados para a tecnologia atual. O atendente riu de forma nervosa e ofereceu um desconto para o próximo mês. Sandra aceitou a oferta. A situação exigia paciência da parte dela."
13,"Hoje foi um dia interessante no trabalho. Meu chefe chegou com aquele rosto de quem descobriu a roda e anunciou que teríamos reunião de emergência. Passamos três horas para tratar da cor da nova caneta da empresa. Que produtividade impressionante! Saí de lá com a certeza de que algumas reuniões poderiam ser um e-mail. Pelo menos descobri que azul é uma cor polêmica, capaz de gerar opiniões distintas.",Hoje foi um dia notável no local de trabalho. Meu chefe chegou com uma expressão facial de muito orgulho e anunciou que teríamos uma reunião de emergência. Nós passamos três horas para discutir a cor da nova caneta da empresa. A produtividade não foi alta. Eu saí do local e concluí que algumas reuniões eram desnecessárias e que as informações poderiam ter sido enviadas por e-mail. Pelo menos eu aprendi que a cor azul causa opiniões diferentes.
14,"A prefeitura inaugurou ontem a nova praça do bairro São João. O evento contou com a presença de autoridades locais e um grupo de moradores. A obra levou dois anos para ser concluída e custou três vezes o orçamento inicial. O prefeito destacou que a praça representa um marco no desenvolvimento urbano da região. Aparentemente, marcos são caros nos dias de hoje. Os moradores aproveitaram para testar o novo banco e os brinquedos infantis.",A prefeitura inaugurou ontem a praça recém-construída no bairro São João. O evento teve a presença de pessoas com cargos oficiais locais e um grupo de moradores. A construção da praça durou dois anos para ser concluída. O custo da obra foi três vezes o orçamento inicial. O prefeito destacou que a praça é um ponto importante no progresso urbano da região. Projetos importantes têm um custo alto atualmente. Os moradores usaram o assento longo recém-instalado e os brinquedos infantis.
15,"Cara, você não vai acreditar no que aconteceu na padaria hoje. Fui comprar pão e a fila estava gigante. A senhora da frente pediu um pão francês em fatias finas, mas não muito finas. O padeiro olhou pra ela com uma paciência de santo. Levou um bom tempo para conseguir o corte perfeito. Quando chegou minha vez, pedi dois pães simples e saí correndo. Às vezes a simplicidade é revolucionária.","Vou relatar o que aconteceu na padaria hoje. Fui comprar pão e a fila estava muito grande. A senhora que estava na frente pediu um pão francês, um tipo de pão, em fatias finas, mas não muito finas. O padeiro olhou para ela com muita paciência. Levou um tempo prolongado para o padeiro conseguir o corte exato conforme solicitado. Quando chegou minha vez, pedi dois pães simples e saí rapidamente. Em certas ocasiões, a simplicidade de uma ação é muito eficiente."
16,"O novo restaurante da esquina promete revolucionar a gastronomia local. Experimentei o prato principal que custava metade do meu salário. A apresentação era impecável, com micro-verdes e gotinhas de molho artisticamente posicionadas. O sabor estava bom, mas a fome permaneceu. Saí de lá com a carteira vazia e o estômago pedindo um sanduíche. A revolução gastronômica aparentemente tem uma falta de saciedade.","O restaurante recente na esquina afirma que vai mudar significativamente a gastronomia local. Eu experimentei o item principal do menu. O preço do item era elevado. A apresentação do prato estava perfeita. Havia pequenos vegetais verdes e gotas de molho organizadas de forma visualmente agradável. O sabor do prato era agradável. No entanto, eu ainda estava com fome. Eu saí do restaurante sem dinheiro na carteira. Meu estômago ainda queria um sanduíche. A comida servida no restaurante não satisfazia a fome."
17,"O elevador do bloco quebrou na semana passada. Desde então, moro no décimo andar e sinto cada passo da escalada diária. Os vizinhos desenvolveram pernas de atleta e alguns descobriram músculos que não sabiam que existiam. A administração informou que o conserto está sendo providenciado. Que eficiência impressionante! Enquanto isso, viramos uma comunidade montanhista urbana. Pelo menos estamos todos mais saudáveis.","O elevador do prédio parou de funcionar na semana passada. Desde então, moro no décimo pavimento. Sinto cada movimento do pé na subida diária de escadas. As pernas dos vizinhos ficaram mais fortes devido ao exercício. Alguns vizinhos notaram músculos que antes não sabiam que possuíam. Os responsáveis pela administração do prédio informaram que o conserto está sendo providenciado. A velocidade do conserto não é alta. Enquanto o elevador não funciona, as pessoas sobem e descem muitas escadas diariamente. Subir as escadas fez com que todas as pessoas ficassem mais saudáveis."
18,"A professora de história entrou na sala com um sorriso misterioso. Anunciou que faríamos uma prova surpresa sobre a Segunda Guerra Mundial. O grupo inteiro gemeu em uníssono, criando uma harmonia perfeita de desespero. Ela distribuiu as folhas enquanto explicava que a surpresa era a base do aprendizado. Que pedagogia inovadora! Metade da turma tentou lembrar se Napoleão participou da guerra. Foi uma tarde educativa de formas inesperadas.","A professora de história entrou na sala com um sorriso. O motivo do sorriso não era conhecido. Ela informou que haveria uma prova inesperada sobre a Segunda Guerra Mundial. Todos os alunos gemeram ao mesmo tempo. Isso indicava que eles sentiam muito desespero. Ela entregou as folhas. Ao mesmo tempo, ela explicou que aprender de forma inesperada era um princípio importante do aprendizado. Os alunos não consideraram este método de ensino inovador. Metade dos alunos tentou recordar se Napoleão esteve na guerra. A tarde foi educativa de maneiras não planejadas."
19,Entrei no elevador e apertei o botão do quinto andar. Uma senhora idosa comentou que o tempo estava mudando muito rapidamente. Concordei educadamente enquanto o elevador subia devagar. Ela mencionou que antigamente as estações eram mais definidas. O elevador parou no terceiro andar e um pequeno grupo entrou. A conversa migrou para o preço dos alimentos e todos participaram. Chegamos ao quinto andar com uma análise completa da economia nacional.,"Entrei no elevador e apertei o botão do quinto andar. Uma senhora idosa comentou que as condições climáticas estavam mudando muito rapidamente. Concordei educadamente enquanto o elevador subia devagar. Ela mencionou que antigamente as estações eram mais definidas. O elevador parou no terceiro andar e um pequeno grupo entrou. O assunto da conversa mudou para o preço dos alimentos e todas as pessoas presentes participaram. Quando chegamos ao quinto andar, a conversa tinha se tornado uma análise completa da economia nacional."
20,"A data da consulta era para as duas da tarde. Cheguei pontualmente e aguardei na sala de espera. Três horas depois, descobri que pontualidade não é a regra na medicina. O médico me atendeu com pressa e diagnosticou stress. Que surpresa revolucionária! Prescreveu descanso e exercícios regulares. Saí de lá com a receita na mão e a conta no cartão. Pelo menos confirmei que estar vivo custa caro.","A consulta estava marcada para as duas da tarde. Cheguei no horário marcado e esperei na sala de espera. Três horas depois, percebi que a pontualidade não era comum na medicina. O médico me atendeu com pressa e diagnosticou stress. O diagnóstico de stress não foi uma novidade. Ele prescreveu descanso e exercícios físicos feitos com frequência. Saí de lá com a receita médica e paguei a despesa com o cartão. Confirmei que os custos para se manter vivo são altos."
21,"A banda tocou durante toda a madrugada, e os vizinhos certamente adoraram o espetáculo. O baixo reverberava pelas paredes finas do prédio, criando uma sinfonia urbana involuntária. Maria tentava dormir, mas a música insistia em ser sua companhia. O som era tão alto que ela já pensava em como iria cobrar os vizinhos. Às cinco da manhã, finalmente houve silêncio - que presente maravilhoso para quem precisa acordar cedo! A vida em apartamento tem seus encantos únicos.","A banda executou música durante a madrugada inteira. Os vizinhos não gostaram do som. O som grave do instrumento baixo ecoava pelas paredes finas do prédio. Isso produziu um som alto e não intencional na área. Maria tentava adormecer, mas a música alta permaneceu presente. O som estava muito alto. Maria considerava fazer uma reclamação aos vizinhos. Às cinco da manhã, o silêncio finalmente começou. Isso foi positivo para quem precisava despertar cedo. A vida em apartamento apresenta características específicas."
22,"João encontrou um tesouro no sótão da avó. Entre caixas empoeiradas e fotografias antigas, descobriu uma coleção de moedas raras. Cada peça brilhava com história e valor. Levou tudo para um especialista avaliar. O ""tesouro"" valia exatamente uma nota. Bem, pelo menos a experiência foi rica em decepção. Às vezes o valor sentimental é mais pesado que o financeiro.","João encontrou uma coleção de moedas raras no sótão da avó. As moedas estavam entre caixas com pó e fotografias de muitos anos atrás. Cada moeda parecia ter importância histórica e valor financeiro. Ele levou todas as moedas para um especialista avaliar. O especialista informou que o valor financeiro da coleção de moedas era muito baixo. A experiência causou muita decepção. Às vezes, a importância emocional de algo é maior do que o seu valor em dinheiro."
23,"A aula de yoga prometia paz interior e relaxamento profundo. Lúcia chegou estressada do trabalho, buscando tranquilidade. O instrutor falava com voz calma sobre respiração e concentração. Durante a meditação, alguém começou a apagar e a roncar alto. O celular de outro aluno tocou três vezes. Realmente muito relaxante! A paz interior teria que esperar outra sessão. Pelo menos o alongamento foi bom.","A aula de yoga prometia paz interior e relaxamento profundo. Lúcia chegou ao local da aula estressada do seu local de trabalho. Ela queria obter tranquilidade. O instrutor falava com voz calma sobre respiração e concentração. Durante a meditação, alguém iniciou o processo de adormecer profundamente e a roncar alto. O celular de outro aluno soou três vezes. A aula não foi relaxante. A paz interior não foi alcançada nesta sessão. Ela precisaria ser obtida em uma sessão posterior. O alongamento foi satisfatório."
24,"O curso online prometia fluência em inglês em trinta dias. Marcos se inscreveu na cadeira animado para melhorar o currículo. Estudou religiosamente todas as manhãs. Após um mês, conseguia falar ""Hello, how are you?"" Fluência absoluta! O investimento valeu cada centavo. Pelo menos a pronúncia melhorou minimamente. Milagres linguísticos levam tempo mesmo","O curso online afirmou que uma pessoa se tornaria fluente no idioma inglês em trinta dias. Marcos se inscreveu no curso. Ele estava animado com a meta de melhorar seu currículo. Ele estudou diariamente, todas as manhãs. Depois de um mês, a capacidade de Marcos de falar inglês limitava-se a dizer ""Hello, how are you?"". Marcos não alcançou fluência. O dinheiro gasto no curso não produziu um benefício equivalente ao custo. A pronúncia de Marcos melhorou um pouco. Adquirir um alto nível de conhecimento em um idioma requer um período de tempo considerável."
25,"Marina descobriu que seu novo vizinho era músico quando ouviu os primeiros acordes atravessando a parede. Claro, ""músico"" era um termo bastante generoso para descrever aquele massacre sonoro. Ela bateu na porta dele às duas da manhã, pronta para uma conversa civilizada sobre horários. O jovem abriu a porta com um sorriso encantador e explicou que estava compondo uma sinfonia. Marina respirou fundo e decidiu que talvez fosse hora de investir em tampões para os ouvidos. A arte, afinal, exige sacrifícios de todos nós.",Marina percebeu que seu vizinho novo era músico. Ela ouviu os acordes iniciais vindo através da parede. A palavra "músico" não descrevia bem o som. O som era um barulho muito alto e desagradável. Marina bateu na porta dele às duas da manhã. Ela estava chateada. Ela queria falar de forma respeitosa sobre os horários. O jovem abriu a porta. Ele sorriu. Ele explicou que estava criando uma sinfonia. Marina respirou de forma profunda. Ela decidiu comprar tampões para os ouvidos. Marina sentiu que o barulho era um sacrifício que ela precisava suportar.
26,"O comitê de planejamento urbano finalmente aprovou o novo projeto para o centro da cidade. A maquete apresenta uma arquitetura arrojada, com amplos espaços verdes e soluções inovadoras para o trânsito. Moradores antigos, no entanto, observam as mudanças com um misto de esperança e ceticismo, lembrando de promessas passadas. A prefeitura garante que, desta vez, o cronograma será rigorosamente cumprido. A previsão de término em seis meses é, certamente, um exemplo de otimismo contagiante. O ponto alto do projeto é a revitalização do antigo mercado, que se tornará um polo gastronômico. A expectativa é que o novo centro traga um novo banco para a cidade, ou pelo menos novos problemas para resolver. Alguns comerciantes locais já sentem o peso da mudança. O aluguel na região, curiosamente, já começou a subir.","O comitê de planejamento urbano finalmente aprovou o projeto recém-criado para o centro da cidade. A maquete mostra uma arquitetura moderna, com espaços verdes grandes e métodos novos para o trânsito. No entanto, os moradores que vivem no local há muito tempo observam as alterações com uma mistura de esperança e dúvida. Eles se lembram de promessas feitas no passado. A prefeitura garante que, desta vez, o cronograma será rigorosamente cumprido. A previsão é que o término ocorra em seis meses. Esta previsão parece ser muito otimista. O aspecto mais importante do projeto é a revitalização do mercado antigo. Ele irá se tornar um centro de alimentação. A expectativa é que o centro recém-criado traga uma nova agência bancária para a cidade. Existe também a possibilidade de que surjam novos problemas que precisarão de solução. Alguns comerciantes locais já enfrentam dificuldades devido às transformações. O aluguel na região já começou a aumentar."
27,"Você viu o que a Ana postou hoje? Ela disse que vai começar um novo curso, algo sobre física quântica e espiritualidade. Parece uma combinação bem interessante, não acha? Ela sempre teve um gosto peculiar para hobbies. Lembro que uma vez ela decidiu aprender a tocar harpa, mas a coisa não foi muito para frente. Ela disse que o som era celestial, mas os vizinhos não concordavam. Que pena que ela desistiu, sua dedicação era realmente inspiradora. De qualquer forma, espero que ela consiga viajar bem nesse novo caminho. Ela comprou até um gato e deu o nome de Schrödinger. Uma mente brilhante como a dela certamente encontrará todas as respostas do universo nessas aulas.","Você visualizou o conteúdo que Ana publicou hoje? Ela informou que irá iniciar um novo curso. O curso é sobre física quântica e espiritualidade. A combinação de física quântica e espiritualidade é incomum. Ela sempre teve preferências incomuns para hobbies. Lembro que uma vez ela decidiu aprender a tocar harpa, mas o projeto não progrediu muito. Ela afirmou que o som da harpa era agradável, mas os vizinhos discordavam e achavam o som desagradável. Ela parou de aprender a tocar harpa. A dedicação dela para o instrumento não foi duradoura. Independentemente dos eventos anteriores, desejo que ela tenha sucesso neste novo curso. Ela comprou um gato e o nomeou Schrödinger. Ana é uma pessoa inteligente. No entanto, é improvável que o curso forneça todas as respostas para o universo."
28,"O detetive observava a cena do crime, um quarto de hotel impecavelmente arrumado, exceto pela figura caída ao lado da cama. A vítima, um conhecido empresário do ramo de joias, parecia dormir um sono profundo e eterno. Não havia sinais de luta, nem portas ou janelas arrombadas. Apenas uma pequena marca no pescoço e um leve cheiro de amêndoas no ar. O colega mais novo do detetive, ansioso por mostrar serviço, já listava os inimigos óbvios do empresário. Que investigação complexa e desafiadora teremos pela frente, pensou o detetive, notando a carta de suicídio bem visível sobre a escrivaninha. Ele sempre podia contar com a perspicácia de seu parceiro para apontar o evidente. O silêncio do quarto era pesado, carregado de segredos que talvez nunca fossem revelados.","O detetive examinava atentamente o local do assassinato. Era um quarto de hotel muito organizado, mas havia um corpo no chão ao lado da cama. A vítima era um empresário que muitas pessoas conheciam do ramo de joias. Ele estava morto. Não havia sinais de briga física. As portas e janelas não estavam arrombadas. Havia apenas uma marca pequena no pescoço. Havia um odor fraco de amêndoas no ar. O colega do detetive era mais jovem. Ele estava ansioso para provar sua competência. Ele já fazia uma lista dos inimigos claros do empresário. A investigação seria simples e fácil. O detetive pensou isso enquanto via a carta de suicídio claramente visível sobre a escrivaninha. Ele sempre podia confiar que seu parceiro indicaria as coisas óbvias. O silêncio do quarto era intenso. O quarto continha segredos que talvez nunca fossem revelados."
29,"Domingo. O parque estava cheio de vida, crianças correndo atrás de pombos e casais dividindo sorvetes nos bancos. O sol da tarde pintava o céu com tons de laranja e rosa, uma cena digna de cartão postal. Observei um homem tentando empinar uma pipa, uma luta desajeitada contra o vento que parecia ter vontade própria. Ele corria de um lado para o outro, sob o olhar divertido de sua família. Que momento de pura e genuína conexão familiar. Depois de quase uma hora de tentativas frustradas, a pipa finalmente rasgou. Ele voltou para a toalha de piquenique com um sorriso resignado. A vida é feita desses pequenos momentos de alegria, não é mesmo? Pelo menos ele fez um bom exercício.","Era domingo. O parque estava muito movimentado. Crianças corriam atrás de pombos. Casais compartilhavam sorvetes nos bancos, que são assentos longos. O sol da tarde dava tons de laranja e rosa ao céu. A cena era visualmente agradável. Observei um homem adulto que estava tentando empinar uma pipa. Era um esforço desajeitado contra o vento, que agia de forma incontrolável. Ele se movia rapidamente de uma área para outra. Sua família observava, achando a situação engraçada. Este não foi um momento de conexão familiar verdadeira. Após quase uma hora de esforços que não deram certo, a pipa rasgou. Ele voltou para a toalha de piquenique com um sorriso que mostrava aceitação da situação. A vida é composta por momentos. Estes não foram alegres. Ele fez exercício físico."
